,2009,2010,2011,2012,2013,2014,2015,2016,2017
USD,1,1,1,1,1,1,1,1,1
GBP,1.56,1.54,1.6,1.58,1.56,1.64,1.52,1.35,1.26
EUR,1.39,1.32,1.39,1.28,1.32,1.32,1.1,1.1,1.1
CAD,0.88,0.97,1.01,1,0.97,0.9,0.78,0.75,0.75
AUD,0.79,0.91,1.03,1.03,0.96,0.9,0.75,0.74,0.75
SEK,0.13,0.13,0.15,0.14,0.15,0.14,0.11,0.11,0.11
NZD,0.63,0.72,0.79,0.81,0.82,0.83,0.69,0.69,0.7
DKK,0.18,0.17,0.18,0.17,0.17,0.17,0.14,0.14,0.14
NOK,0.15,0.16,0.17,0.17,0.17,0.15,0.12,0.11,0.11
CHF,0.92,0.96,1.13,1.06,1.07,1.09,1.04,1.01,1
MXN,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.05,0.05
SGD,0.68,0.73,0.79,0.8,0.79,0.78,0.72,0.72,0.71
HKD,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
